DateTime,Price,Type,Date,Pump_Status
2026-02-06 00:00:00,109.33707,historical,2026-02-06,ON
2026-02-06 00:30:00,126.20139,historical,2026-02-06,ON
2026-02-06 01:00:00,108.89,historical,2026-02-06,ON
2026-02-06 01:30:00,132.77416,historical,2026-02-06,ON
2026-02-06 02:00:00,131.22401,historical,2026-02-06,ON
2026-02-06 02:30:00,135.82997,historical,2026-02-06,ON
2026-02-06 03:00:00,138.42,historical,2026-02-06,ON
2026-02-06 03:30:00,138.42,historical,2026-02-06,ON
2026-02-06 04:00:00,153.01,historical,2026-02-06,ON
2026-02-06 04:30:00,195.68028,historical,2026-02-06,ON
2026-02-06 05:00:00,235.35339,historical,2026-02-06,ON
2026-02-06 05:30:00,227.37697,historical,2026-02-06,OFF
2026-02-06 06:00:00,286.19889,historical,2026-02-06,OFF
2026-02-06 06:30:00,245.61799,historical,2026-02-06,OFF
2026-02-06 07:00:00,108.89,historical,2026-02-06,ON
2026-02-06 07:30:00,61.03948,historical,2026-02-06,ON
2026-02-06 08:00:00,59.15131,historical,2026-02-06,ON
2026-02-06 08:30:00,56.98,historical,2026-02-06,ON
2026-02-06 09:00:00,36.06,historical,2026-02-06,ON
2026-02-06 09:30:00,36.06,historical,2026-02-06,ON
2026-02-06 10:00:00,0.51,historical,2026-02-06,ON
2026-02-06 10:30:00,0.50992,historical,2026-02-06,ON
2026-02-06 11:00:00,0.50993,historical,2026-02-06,ON
2026-02-06 11:30:00,0.50993,historical,2026-02-06,ON
2026-02-06 12:00:00,-0.13867,historical,2026-02-06,ON
2026-02-06 12:30:00,-5.50985,historical,2026-02-06,ON
2026-02-06 13:00:00,0.51,historical,2026-02-06,ON
2026-02-06 13:30:00,36.06,historical,2026-02-06,ON
2026-02-06 14:00:00,0.71552,historical,2026-02-06,ON
2026-02-06 14:30:00,80.08,historical,2026-02-06,ON
2026-02-06 15:00:00,154.2,historical,2026-02-06,ON
2026-02-06 15:30:00,299.75,historical,2026-02-06,OFF
2026-02-06 16:00:00,2164.51739,historical,2026-02-06,OFF
2026-02-06 16:30:00,299.75,historical,2026-02-06,OFF
2026-02-06 17:00:00,12228.98287,historical,2026-02-06,OFF
2026-02-06 17:30:00,12289.28552,historical,2026-02-06,OFF
2026-02-06 18:00:00,12306.56409,historical,2026-02-06,OFF
2026-02-06 18:30:00,12327.04053,historical,2026-02-06,OFF
2026-02-06 19:00:00,12957.91242,historical,2026-02-06,OFF
2026-02-06 19:30:00,20222.9,historical,2026-02-06,OFF
2026-02-06 20:00:00,20222.9,historical,2026-02-06,OFF
2026-02-06 20:30:00,299.99,historical,2026-02-06,OFF
2026-02-06 21:00:00,299.99,historical,2026-02-06,OFF
2026-02-06 21:30:00,243.39528,historical,2026-02-06,OFF
2026-02-06 22:00:00,225.66307,historical,2026-02-06,ON
2026-02-06 22:30:00,111.90623,historical,2026-02-06,ON
2026-02-06 23:00:00,108.01,historical,2026-02-06,ON
2026-02-06 23:30:00,108.01,forecast,2026-02-06,ON
2026-02-07 00:00:00,105.79,forecast,2026-02-07,ON
2026-02-07 00:30:00,107.54919,forecast,2026-02-07,ON
2026-02-07 01:00:00,105.79,forecast,2026-02-07,ON
2026-02-07 01:30:00,87.0071,forecast,2026-02-07,ON
2026-02-07 02:00:00,105.79,forecast,2026-02-07,ON
2026-02-07 02:30:00,105.79,forecast,2026-02-07,OFF
2026-02-07 03:00:00,94.89507,forecast,2026-02-07,OFF
2026-02-07 03:30:00,84.79,forecast,2026-02-07,OFF
2026-02-07 04:00:00,86.33874,forecast,2026-02-07,OFF
2026-02-07 04:30:00,105.79,forecast,2026-02-07,OFF
2026-02-07 05:00:00,106.95927,forecast,2026-02-07,OFF
2026-02-07 05:30:00,108.61938,forecast,2026-02-07,OFF
2026-02-07 06:00:00,108.89,forecast,2026-02-07,OFF
2026-02-07 06:30:00,105.79,forecast,2026-02-07,OFF
2026-02-07 07:00:00,61.02668,forecast,2026-02-07,ON
2026-02-07 07:30:00,57.06007,forecast,2026-02-07,ON
2026-02-07 08:00:00,36.05952,forecast,2026-02-07,ON
2026-02-07 08:30:00,36.0601,forecast,2026-02-07,ON
2026-02-07 09:00:00,35.88,forecast,2026-02-07,ON
2026-02-07 09:30:00,36.0601,forecast,2026-02-07,ON
2026-02-07 10:00:00,0.51,forecast,2026-02-07,ON
2026-02-07 10:30:00,-6.8954,forecast,2026-02-07,ON
2026-02-07 11:00:00,-5.51,forecast,2026-02-07,ON
2026-02-07 11:30:00,0.50994,forecast,2026-02-07,ON
2026-02-07 12:00:00,3.78089,forecast,2026-02-07,ON
2026-02-07 12:30:00,0.51,forecast,2026-02-07,ON
2026-02-07 13:00:00,35.88,forecast,2026-02-07,ON
2026-02-07 13:30:00,36.0601,forecast,2026-02-07,ON
2026-02-07 14:00:00,36.0601,forecast,2026-02-07,ON
2026-02-07 14:30:00,78.0001,forecast,2026-02-07,ON
2026-02-07 15:00:00,73.20007,forecast,2026-02-07,ON
2026-02-07 15:30:00,73.20007,forecast,2026-02-07,ON
2026-02-07 16:00:00,79.95028,forecast,2026-02-07,ON
2026-02-07 16:30:00,282.40859,forecast,2026-02-07,OFF
2026-02-07 17:00:00,170.91832,forecast,2026-02-07,OFF
2026-02-07 17:30:00,142.36,forecast,2026-02-07,OFF
2026-02-07 18:00:00,160.27773,forecast,2026-02-07,OFF
2026-02-07 18:30:00,142.36,forecast,2026-02-07,OFF
2026-02-07 19:00:00,158.38464,forecast,2026-02-07,OFF
2026-02-07 19:30:00,152.22231,forecast,2026-02-07,OFF
2026-02-07 20:00:00,146.77255,forecast,2026-02-07,OFF
2026-02-07 20:30:00,161.47573,forecast,2026-02-07,OFF
2026-02-07 21:00:00,113.62486,forecast,2026-02-07,OFF
2026-02-07 21:30:00,108.89,forecast,2026-02-07,OFF
2026-02-07 22:00:00,86.33872,forecast,2026-02-07,OFF
2026-02-07 22:30:00,84.79,forecast,2026-02-07,OFF
2026-02-07 23:00:00,84.79,forecast,2026-02-07,OFF
2026-02-07 23:30:00,98.40777,forecast,2026-02-07,OFF
